GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13045910502,13045910502,"Census Tract 9105.02, Carroll County, Georgia",2424,311,1630,300,794,289
1400000US13045910600,13045910600,"Census Tract 9106, Carroll County, Georgia",6177,611,5366,645,811,463
1400000US13045910701,13045910701,"Census Tract 9107.01, Carroll County, Georgia",9194,700,8683,717,511,192
1400000US13045910702,13045910702,"Census Tract 9107.02, Carroll County, Georgia",7250,717,6925,718,325,284
1400000US13045910703,13045910703,"Census Tract 9107.03, Carroll County, Georgia",8081,836,7730,776,351,294
1400000US13045910800,13045910800,"Census Tract 9108, Carroll County, Georgia",4130,383,4012,406,118,125
1400000US13045910900,13045910900,"Census Tract 9109, Carroll County, Georgia",3825,424,3775,422,50,72
1400000US13045911000,13045911000,"Census Tract 9110, Carroll County, Georgia",6178,544,5332,530,846,298
1400000US13045911100,13045911100,"Census Tract 9111, Carroll County, Georgia",7756,637,7261,735,495,375
1400000US13045911200,13045911200,"Census Tract 9112, Carroll County, Georgia",5895,691,5848,693,47,56
1400000US13047030100,13047030100,"Census Tract 301, Catoosa County, Georgia",6682,589,6439,565,243,176
1400000US13047030201,13047030201,"Census Tract 302.01, Catoosa County, Georgia",4484,448,4362,456,122,91
1400000US13047030202,13047030202,"Census Tract 302.02, Catoosa County, Georgia",6211,572,6205,571,6,11
1400000US13047030301,13047030301,"Census Tract 303.01, Catoosa County, Georgia",7274,514,6994,541,280,226
1400000US13047030303,13047030303,"Census Tract 303.03, Catoosa County, Georgia",3694,311,3658,324,36,50
1400000US13047030304,13047030304,"Census Tract 303.04, Catoosa County, Georgia",3698,335,3588,346,110,87
1400000US13047030401,13047030401,"Census Tract 304.01, Catoosa County, Georgia",7305,526,7010,498,295,239
1400000US13047030402,13047030402,"Census Tract 304.02, Catoosa County, Georgia",5735,395,5590,397,145,113
1400000US13047030500,13047030500,"Census Tract 305, Catoosa County, Georgia",5798,603,5766,598,32,39
