gisjn_tct,year,tractid,totpop_pov,povpop,povpop185,totalhh,hh100k_up,hh150k_up,tractpop,afam_pop,asn_pop,hisp_pop,totpop_age,under18,over64,povpop_pct,povpop185_pct,hh100k_pct,hh150k_pct,afam_pct,asn_pct,hisp_pct,under18_pct,over64_pct,aldi,bell.s,bi.lo,big.bear,bp.food.mart,chevron.food.mart,circle.k,citgo.food.mart,costco,cvs.pharmacy,dollar.general,dollar.tree,exxon.food.mart,family.dollar.store,flash.foods.llc,food.depot,food.lion,freds.store,harveys,iga,ingles.markets,jet.food.store,kmart,kroger,mapco.express,one.stop,piggly.wiggly,publix,quick.mart,quick.stop,quiktrip,race.trac,rite.aid,sam.s.club,save.a.lot,shell.food.mart,target,texaco.food.mart,the.fresh.market,trader.joe,walgreen.s.,walmart,wayfield,whole.foods,wholesale,winn.dixie,snap_enroll
G13045911100,Y2013,13045911100,7544,1741,3292,3243,395,128,7666,1101,65,551,7666,1250,1526,23.07794274,43.63732768,12.18008017,3.946962689,14.36211845,0.847899817,7.187581529,16.30576572,19.90607879,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1861.092253
G13045911100,Y2012,13045911100,7439,1771,3290,3079,414,166,7592,1072,46,456,7592,1169,1511,23.8069633,44.22637451,13.445924,5.391360831,14.12012645,0.605900948,6.006322445,15.39778714,19.90252898,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1890.404237
G13045911100,Y2011,13045911100,7565,1717,3312,3088,545,195,7756,800,0,495,7756,1256,1458,22.69662921,43.78056841,17.64896373,6.314766839,10.31459515,0,6.38215575,16.19391439,18.79834966,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1795.030915
G13045911100,Y2010,13045911100,7307,1872,3215,3060,564,241,7539,1096,0,385,7539,1071,1417,25.61926919,43.99890516,18.43137255,7.875816993,14.5377371,0,5.106778087,14.20612813,18.79559623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1587.659564
G13045911100,Y2009,13045911100,7149,1532,3009,3110,595,247,7411,952,0,431,7411,1075,1475,21.42957057,42.08980277,19.1318328,7.942122186,12.8457698,0,5.815679395,14.50546485,19.90284712,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1378.319497
G13045911100,Y2008,13045911100,6943,1406,2931,3094,596,273,7484,898,0,159,7484,1160,1482,20.25061213,42.21518076,19.26308985,8.823529412,11.99893105,0,2.124532336,15.49973276,19.80224479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1172.479369
G13045911000,Y2013,13e9,6113,1043,2344,2306,341,183,6157,957,0,765,6157,1028,819,17.06199902,38.3445117,14.78751084,7.935819601,15.54328407,0,12.42488225,16.69644307,13.30193276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426.945592
G13045911000,Y2012,13e9,6084,902,2503,2298,431,248,6124,1083,0,831,6124,1188,851,14.82577252,41.14069691,18.75543951,10.79199304,17.68451992,0,13.56956238,19.39908556,13.89614631,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454.308432
G13045911000,Y2011,13e9,6178,963,2286,2266,467,270,6178,1154,0,846,6178,1124,680,15.58756879,37.00226611,20.60900265,11.9152692,18.6791842,0,13.69375202,18.19359016,11.00679832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376.426164
G13045911000,Y2010,13e9,6276,1175,2459,2307,423,224,6276,962,0,896,6276,1105,772,18.722116,39.18100701,18.33550065,9.709579541,15.32823454,0,14.27660931,17.6067559,12.30082855,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.269028
